fiscal_year,fiscal_period,department,division,merchant,category_description,transaction_date,amount
2024,12,LEGISLATIVE BRANCH,General Assembly House,PANERA BREAD #203810 O,Fast Food Restaurants,2024-06-26,301.63
2024,12,LEGISLATIVE BRANCH,General Assembly House,CAPRIOTTIS SANDWICH SHOP,Fast Food Restaurants,2024-06-26,873.98
2024,12,LEGISLATIVE BRANCH,General Assembly Senate,TST* POLISENOS PIZZERIA,Eating Places Restaurants,2024-06-26,149.89
2024,12,LEGISLATIVE BRANCH,General Assembly Senate,SAFEWAY 1763,Grocery Stores Supermarkets,2024-06-25,49.47
2024,12,LEGISLATIVE BRANCH,General Assembly Senate,CSG EASTERN OFFICE CC,Government Services-Not Elsewhere Classified,2024-06-26,375.0
2024,12,LEGISLATIVE BRANCH,General Assembly Senate,PANERA BREAD #203810 O,Fast Food Restaurants,2024-06-26,691.92
2024,12,LEGISLATIVE BRANCH,General Assembly Senate,QUILL CORPORATION,Stationery-Office Supplies-Printing Writing Pap,2024-06-25,154.93
2024,12,LEGISLATIVE BRANCH,General Assembly Senate,DUNKIN #300820,Fast Food Restaurants,2024-06-25,71.96
2024,12,LEGISLATIVE BRANCH,Division Of Research,NATIONAL CONFERENCE OF ST,Business Services-Not Elsewhere Classified,2024-06-25,450.0
2024,12,LEGISLATIVE BRANCH,Division Of Research,NATIONAL CONFERENCE OF ST,Business Services-Not Elsewhere Classified,2024-06-26,450.0
2024,12,LEGISLATIVE BRANCH,Division Of Research,NATIONAL CONFERENCE OF ST,Business Services-Not Elsewhere Classified,2024-06-24,450.0
2024,12,LEGISLATIVE BRANCH,Division Of Research,AMERICAN AIR0017016920986,Airline,2024-06-25,352.96
2024,12,JUDICIAL,Court Of Chancery,WEGMANS.COM WILMINGTON119,Grocery Stores Supermarkets,2024-06-26,63.0
2024,12,JUDICIAL,Superior Court,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-24,20.0
2024,12,JUDICIAL,Court Of Common Pleas,TONERBUZZ.COM,Office School Supply And Stationery Stores,2024-06-25,209.0
2024,12,JUDICIAL,Family Court,FSP*NACM,Organizations Charitable And Social Services,2024-06-26,150.0
2024,12,JUDICIAL,Family Court,RUBBERSTAMP,Office School Supply And Stationery Stores,2024-06-25,27.9
2024,12,JUDICIAL,Family Court,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-26,20.0
2024,12,JUDICIAL,Family Court,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-26,20.0
2024,12,JUDICIAL,Family Court,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-26,20.0
2024,12,JUDICIAL,Justice of the Peace Court,DELAWARE STATE BAR ASSOCI,Organizations Charitable And Social Services,2024-06-24,160.0
2024,12,JUDICIAL,Justice of the Peace Court,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-26,21.0
2024,12,JUDICIAL,Ofc Of St Court Administrator,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-25,20.0
2024,12,JUDICIAL,Ofc Of St Court Administrator,AMAZON MKTPL*RG9L14II2,Book Stores,2024-06-25,57.97
2024,12,JUDICIAL,Ofc Of St Court Administrator,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-25,20.0
2024,12,JUDICIAL,Ofc Of St Court Administrator,IDENTOGO - DE FINGE,Government Services-Not Elsewhere Classified,2024-06-24,20.0
2024,12,JUDICIAL,Information Technology,COMCAST,Cable Satellite Other Pay Television Radio Svcs,2024-06-26,226.31
2024,12,JUDICIAL,Information Technology,ADOBE *ADOBE,Computer Software Stores,2024-06-24,59.99
2024,12,EXECUTIVE,Office of the Governor,FEDEX462018439,Courier Svc-Air Ground Freight Forwarders,2024-06-26,18.86
2024,12,EXECUTIVE,Office of the Governor,ALDI 71119,Grocery Stores Supermarkets,2024-06-25,13.14
2024,12,EXECUTIVE,Office of the Governor,SAMS CLUB #6330,Wholesale Clubs,2024-06-24,508.96
2024,12,EXECUTIVE,Office of the Governor,SAFEWAY 1763,Grocery Stores Supermarkets,2024-06-25,19.33
2024,12,EXECUTIVE,Office of the Governor,SAMS CLUB #6330,Wholesale Clubs,2024-06-26,87.09
2024,12,EXECUTIVE,Office of the Governor,SAFEWAY 1763,Grocery Stores Supermarkets,2024-06-25,351.88
2024,12,EXECUTIVE,Office of the Governor,SAFEWAY 1763,Grocery Stores Supermarkets,2024-06-24,349.7
2024,12,EXECUTIVE,Office of the Governor,SAMS CLUB #6330,Wholesale Clubs,2024-06-25,173.73
2024,12,EXECUTIVE,Administration,FASTENAL COMPANY 01DEDOV,Industrial Supplies Not Elsewhere Classified,2024-06-24,752.11
2024,12,EXECUTIVE,Administration,REDNERS MKTS #13,Grocery Stores Supermarkets,2024-06-25,20.96
2024,12,EXECUTIVE,Administration,MAIN ST MARKET,Miscellaneous General Merchandise,2024-06-26,456.0
2024,12,EXECUTIVE,Administration,CITY OF WILM-DIV REVENUE,Government Services-Not Elsewhere Classified,2024-06-26,100.0
2024,12,EXECUTIVE,Administration,GRAINGER,Industrial Supplies Not Elsewhere Classified,2024-06-26,52.04
2024,12,EXECUTIVE,Administration,AQUAFLOW PUMP And SUPPLY C,Plumbing And Heating Equipment,2024-06-26,371.92
2024,12,EXECUTIVE,Administration,GRAINGER,Industrial Supplies Not Elsewhere Classified,2024-06-26,2876.64
2024,12,EXECUTIVE,Administration,UNITED ELECTRIC DOVER,Electrical Parts And Equipment,2024-06-25,5114.68
2024,12,EXECUTIVE,Administration,4TE*ADVANTECH,Detectve-Protectve Agncy Security Srvs Armor Cars,2024-06-26,899.25
2024,12,EXECUTIVE,Administration,ROMMEL'S 7164,Hardware Stores,2024-06-25,339.93
2024,12,EXECUTIVE,Administration,ROMMEL'S 7164,Hardware Stores,2024-06-25,148.67
2024,12,EXECUTIVE,Administration,ROMMEL'S 7164,Hardware Stores,2024-06-25,468.11
2024,12,EXECUTIVE,Administration,AMERICAN AIR0012153481622,Airline,2024-06-25,178.96
2024,12,EXECUTIVE,Budget Development And Plann,PAYPAL *ASSOCIATION,Organizations Charitable And Social Services,2024-06-24,365.0
2024,12,EXECUTIVE,Fleet Management,DIAMOND STATE TIRE,Automotive Service Shops,2024-06-24,527.56
2024,12,EXECUTIVE,Fleet Management,TRANS PLUS INC,Automotive Body Repair Shops,2024-06-25,2511.09
2024,12,EXECUTIVE,Fleet Management,DELAWARE TIRE DOVER,Automotive Tire Stores,2024-06-24,613.15
2024,12,EXECUTIVE,Fleet Management,TRANS PLUS INC,Automotive Body Repair Shops,2024-06-25,1888.14
2024,12,EXECUTIVE,Fleet Management,LEWES CHEVY OFFICE,Auto Truck Dlrs-Sales Svc Reprs Prts Leasing,2024-06-26,1982.75
2024,12,EXECUTIVE,Fleet Management,DIAMOND STATE TIRE,Automotive Service Shops,2024-06-24,481.36
2024,12,EXECUTIVE,Fleet Management,DIAMOND STATE TIRE,Automotive Service Shops,2024-06-24,854.0
2024,12,EXECUTIVE,Fleet Management,MILFORD CHEVY OFFICE,Auto Truck Dlrs-Sales Svc Reprs Prts Leasing,2024-06-25,4140.78
2024,12,EXECUTIVE,Fleet Management,MILFORD CHEVY OFFICE,Auto Truck Dlrs-Sales Svc Reprs Prts Leasing,2024-06-25,96.41
